,target
000a849f_50,0
000a849f_100,0
000a849f_150,0
000a849f_200,0
000a849f_250,0
000a849f_300,0
000a849f_350,0
000a849f_400,0
000a849f_450,0
000a849f_500,0
000a849f_550,0
000a849f_600,0
000a849f_650,0
000a849f_700,0
000a849f_750,0
000a849f_800,0
000a849f_850,0
000a849f_900,0
000a849f_950,0
000a849f_1000,0
000a849f_1050,0
000a849f_1100,0
000a849f_1150,0
000a849f_1200,0
000a849f_1250,0
000a849f_1300,0
000a849f_1350,0
000a849f_1400,0
000a849f_1450,0
000a849f_1500,0
000a849f_1550,0
000a849f_1600,0
000a849f_1650,0
000a849f_1700,0
000a849f_1750,0
000a849f_1800,0
000a849f_1850,0
000a849f_1900,0
000a849f_1950,0
000a849f_2000,0
000a849f_2050,0
000a849f_2100,0
000a849f_2150,0
000a849f_2200,0
000a849f_2250,0
000a849f_2300,0
000a849f_2350,0
000a849f_2400,0
000a849f_2450,0
000a849f_2500,0
000a849f_2550,0
000a849f_2600,0
000a849f_2650,0
000a849f_2700,0
000a849f_2750,0
000a849f_2800,0
000a849f_2850,0
000a849f_2900,0
000a849f_2950,0
000a849f_3000,0
000a849f_3050,0
000a849f_3100,0
000a849f_3150,0
000a849f_3200,0
000a849f_3250,0
000a849f_3300,0
000a849f_3350,0
000a849f_3400,0
000a849f_3450,0
000a849f_3500,0
000a849f_3550,0
000a849f_3600,0
000a849f_3650,0
000a849f_3700,0
000a849f_3750,0
000a849f_3800,0
000a849f_3850,0
000a849f_3900,0
000a849f_3950,0
000a849f_4000,0
000a849f_4050,0
000a849f_4100,0
000a849f_4150,0
000a849f_4200,0
000a849f_4250,0
000a849f_4300,0
000a849f_4350,0
000a849f_4400,0
000a849f_4450,0
000a849f_4500,0
000a849f_4550,0
000a849f_4600,0
000a849f_4650,0
000a849f_4700,0
000a849f_4750,0
000a849f_4800,0
000a849f_4850,0
000a849f_4900,0
000a849f_4950,0
000a849f_5000,0
000a849f_5050,0
000a849f_5100,0
000a849f_5150,0
000a849f_5200,0
000a849f_5250,0
000a849f_5300,0
000a849f_5350,0
000a849f_5400,0
000a849f_5450,0
000a849f_5500,0
000a849f_5550,0
000a849f_5600,0
000a849f_5650,0
000a849f_5700,0
000a849f_5750,0
000a849f_5800,0
000a849f_5850,0
000a849f_5900,0
000a849f_5950,0
000a849f_6000,0
000a849f_6050,0
000a849f_6100,0
000a849f_6150,0
000a849f_6200,0
000a849f_6250,0
000a849f_6300,0
000a849f_6350,0
000a849f_6400,0
000a849f_6450,0
000a849f_6500,0
000a849f_6550,0
000a849f_6600,0
000a849f_6650,0
000a849f_6700,0
000a849f_6750,0
000a849f_6800,0
000a849f_6850,0
000a849f_6900,0
000a849f_6950,0
000a849f_7000,0
000a849f_7050,0
000a849f_7100,0
000a849f_7150,0
000a849f_7200,0
000a849f_7250,0
000a849f_7300,0
000a849f_7350,0
000a849f_7400,0
000a849f_7450,0
000a849f_7500,0
000a849f_7550,0
000a849f_7600,0
000a849f_7650,0
000a849f_7700,0
000a849f_7750,0
000a849f_7800,0
000a849f_7850,0
000a849f_7900,0
000a849f_7950,0
000a849f_8000,0
000a849f_8050,0
000a849f_8100,0
000a849f_8150,0
000a849f_8200,0
000a849f_8250,0
000a849f_8300,0
000a849f_8350,0
000a849f_8400,0
000a849f_8450,0
000a849f_8500,0
000a849f_8550,0
000a849f_8600,0
000a849f_8650,0
000a849f_8700,0
000a849f_8750,0
000a849f_8800,0
000a849f_8850,0
000a849f_8900,0
000a849f_8950,0
000a849f_9000,0
000a849f_9050,0
000a849f_9100,0
000a849f_9150,0
000a849f_9200,0
000a849f_9250,0
000a849f_9300,0
000a849f_9350,0
000a849f_9400,0
000a849f_9450,0
000a849f_9500,0
000a849f_9550,0
000a849f_9600,0
000a849f_9650,0
000a849f_9700,0
000a849f_9750,0
000a849f_9800,0
000a849f_9850,0
000a849f_9900,0
000a849f_9950,0
000a849f_10000,0
000a849f_10050,0
000a849f_10100,0
000a849f_10150,0
000a849f_10200,0
000a849f_10250,0
000a849f_10300,0
000a849f_10350,0
000a849f_10400,0
000a849f_10450,0
000a849f_10500,0
000a849f_10550,0
000a849f_10600,0
000a849f_10650,0
000a849f_10700,0
000a849f_10750,0
000a849f_10800,0
000a849f_10850,0
000a849f_10900,0
000a849f_10950,0
000a849f_11000,0
000a849f_11050,0
000a849f_11100,0
000a849f_11150,0
000a849f_11200,0
000a849f_11250,0
000a849f_11300,0
000a849f_11350,0
000a849f_11400,0
000a849f_11450,0
000a849f_11500,0
000a849f_11550,0
000a849f_11600,0
000a849f_11650,0
000a849f_11700,0
000a849f_11750,0
000a849f_11800,0
000a849f_11850,0
000a849f_11900,0
000a849f_11950,0
000a849f_12000,0
000a849f_12050,0
000a849f_12100,0
000a849f_12150,0
000a849f_12200,0
000a849f_12250,0
000a849f_12300,0
000a849f_12350,0
000a849f_12400,0
000a849f_12450,0
000a849f_12500,0
000a849f_12550,0
000a849f_12600,0
000a849f_12650,0
000a849f_12700,0
000a849f_12750,0
000a849f_12800,0
000a849f_12850,0
000a849f_12900,0
000a849f_12950,0
000a849f_13000,0
000a849f_13050,0
000a849f_13100,0
000a849f_13150,0
000a849f_13200,0
000a849f_13250,0
000a849f_13300,0
000a849f_13350,0
000a849f_13400,0
000a849f_13450,0
000a849f_13500,0
000a849f_13550,0
000a849f_13600,0
000a849f_13650,0
000a849f_13700,0
000a849f_13750,0
000a849f_13800,0
000a849f_13850,0
000a849f_13900,0
000a849f_13950,0
000a849f_14000,0
000a849f_14050,0
000a849f_14100,0
000a849f_14150,0
000a849f_14200,0
000a849f_14250,0
000a849f_14300,0
000a849f_14350,0
000a849f_14400,0
000a849f_14450,0
000a849f_14500,0
000a849f_14550,0
000a849f_14600,0
000a849f_14650,0
000a849f_14700,0
000a849f_14750,0
000a849f_14800,0
000a849f_14850,0
000a849f_14900,0
000a849f_14950,0
000a849f_15000,0
000a849f_15050,0
000a849f_15100,0
000a849f_15150,0
000a849f_15200,0
000a849f_15250,0
000a849f_15300,0
000a849f_15350,0
000a849f_15400,0
000a849f_15450,0
000a849f_15500,0
000a849f_15550,0
000a849f_15600,0
000a849f_15650,0
000a849f_15700,0
000a849f_15750,0
000a849f_15800,0
000a849f_15850,0
000a849f_15900,0
000a849f_15950,0
000a849f_16000,0
000a849f_16050,0
000a849f_16100,0
000a849f_16150,0
000a849f_16200,0
000a849f_16250,0
000a849f_16300,0
000a849f_16350,0
000a849f_16400,0
000a849f_16450,0
000a849f_16500,0
000a849f_16550,0
000a849f_16600,0
000a849f_16650,0
000a849f_16700,0
000a849f_16750,0
000a849f_16800,0
000a849f_16850,0
000a849f_16900,0
000a849f_16950,0
000a849f_17000,0
000a849f_17050,0
000a849f_17100,0
000a849f_17150,0
000a849f_17200,0
000a849f_17250,0
000a849f_17300,0
000a849f_17350,0
000a849f_17400,0
000a849f_17450,0
000a849f_17500,0
000a849f_17550,0
000a849f_17600,0
000a849f_17650,0
000a849f_17700,0
000a849f_17750,0
000a849f_17800,0
000a849f_17850,0
000a849f_17900,0
000a849f_17950,0
000a849f_18000,0
000a849f_18050,0
000a849f_18100,0
000a849f_18150,0
000a849f_18200,0
000a849f_18250,0
000a849f_18300,0
000a849f_18350,0
000a849f_18400,0
000a849f_18450,0
000a849f_18500,0
000a849f_18550,0
000a849f_18600,0
000a849f_18650,0
000a849f_18700,0
000a849f_18750,0
000a849f_18800,0
000a849f_18850,0
000a849f_18900,0
000a849f_18950,0
000a849f_19000,0
000a849f_19050,0
000a849f_19100,0
000a849f_19150,0
000a849f_19200,0
000a849f_19250,0
000a849f_19300,0
000a849f_19350,0
000a849f_19400,0
000a849f_19450,0
000a849f_19500,0
000a849f_19550,0
000a849f_19600,0
000a849f_19650,0
000a849f_19700,0
000a849f_19750,0
000a849f_19800,0
000a849f_19850,0
000a849f_19900,0
000a849f_19950,0
000a849f_20000,0
000a849f_20050,0
000a849f_20100,0
000a849f_20150,0
000a849f_20200,0
000a849f_20250,0
000a849f_20300,0
000a849f_20350,0
000a849f_20400,0
000a849f_20450,0
000a849f_20500,0
000a849f_20550,0
000a849f_20600,0
000a849f_20650,0
000a849f_20700,0
000a849f_20750,0
000a849f_20800,0
000a849f_20850,0
000a849f_20900,0
000a849f_20950,0
000a849f_21000,0
000a849f_21050,0
000a849f_21100,0
000a849f_21150,0
000a849f_21200,0
